#{"t_start": 1711607050.050625, "env_id": "None"}
r,l,t
322.682273,649,263.891788
332.448808,810,264.262009
326.56346,778,264.603371
349.745694,887,265.019862
352.351738,889,265.42103
309.492029,795,267.529798
384.901469,840,267.939322
300.824355,840,268.313452
397.918881,911,268.736439
363.247309,781,269.113334
300.043994,646,269.403135
314.927981,859,269.813524
376.985667,824,270.197169
354.541532,795,270.572257
359.66068,799,270.942548
365.501305,774,271.296956
342.374412,736,273.453221
328.870653,952,273.886586
340.0815,933,274.324982
282.502244,672,274.6364
422.955156,837,275.036465
346.644569,890,275.439994
232.449556,687,275.765679
224.164091,640,276.055176
346.343335,779,276.419877
421.680749,914,276.840354
286.452063,779,279.029056
347.154413,679,279.338762
329.485535,792,279.689794
263.333683,859,280.099335
340.910923,639,280.38977
315.77256,915,280.838476
452.764906,901,281.245698
360.677137,771,281.602901
443.954426,781,282.002866
402.397463,695,282.328055
284.660966,593,282.586199
311.696245,734,284.686405
359.443348,741,285.020014
274.523888,831,285.402946
330.586361,907,285.836229
310.371751,713,286.186497
314.348774,808,286.553116
361.64348,881,286.983533
345.036023,767,287.352708
291.796388,769,287.686766
320.229437,862,288.10278
346.819527,793,290.219666
364.345562,816,290.6194
425.102745,843,291.009138
364.778788,743,291.338535
343.774893,851,291.729394
325.802152,791,292.110485
320.732599,715,292.439497
294.533411,705,292.763217
333.402581,766,293.119541
369.096205,583,293.404594
337.860228,717,293.719305
370.426454,781,295.859013
359.724791,618,296.13634
262.816192,604,296.419303
275.646931,622,296.708519
312.868678,738,297.039434
331.199313,796,297.424148
415.806326,773,297.778092
339.05918,775,298.139394
357.034902,857,298.55248
327.561807,830,298.919254
307.706568,864,299.311142
257.690706,703,301.409741
359.334923,743,301.763015
282.928923,756,302.119353
224.661059,667,302.438789
317.126894,725,302.779042
317.496171,756,303.13577
274.214422,720,303.468263
440.14533,892,303.920334
268.886489,661,304.22925
337.37952,758,304.568999
310.254078,669,304.869347
295.386255,653,306.918897
373.412372,753,307.256175
319.272601,695,307.589132
288.35034,844,307.989853
282.371556,716,308.30237
327.336257,693,308.6392
334.91642,693,308.958291
274.455881,723,309.280902
310.422446,762,309.618908
276.10336,774,309.966271
326.421285,775,310.398134
399.462493,872,312.601132
381.247635,823,312.978975
317.561274,797,313.352257
374.901605,780,313.718988
267.947254,680,314.041048
346.828739,781,314.412701
352.211969,688,314.744617
395.134878,866,315.118848
246.396406,652,315.435565
223.138471,583,315.718886
316.035413,742,316.052144
283.025115,658,318.285425
278.461407,757,318.635392
336.800515,689,318.958198
276.962069,693,319.276706
278.230296,571,319.553837
348.017466,712,319.868842
328.248041,787,320.218725
349.871508,653,320.518769
359.692031,715,320.835497
313.323956,740,321.284663
332.654362,839,321.712234
302.878606,769,323.845312
385.663612,709,324.17891
325.072655,790,324.535606
343.261063,749,324.896349
376.631207,881,325.302277
298.729757,630,325.588789
374.066279,787,325.93531
268.453422,628,326.218883
333.448464,681,326.601979
297.036143,717,326.938368
318.220651,698,327.238781
358.062051,832,329.401833
334.640261,800,329.788722
284.977281,731,330.113853
335.423638,687,330.418527
393.889037,822,330.808817
297.19334,739,331.139001
359.664742,729,331.485232
401.369795,761,331.838628
346.785516,669,332.145751
283.936721,757,332.552196
371.079695,866,332.951862
256.680211,795,335.118385
350.538355,704,335.437532
355.084234,681,335.737601
420.935964,901,336.151826
311.555875,881,336.568346
355.624833,789,336.92794
356.020677,622,337.20726
357.56783,808,337.588553
384.561992,872,337.987597
345.772238,722,338.318366
330.324498,742,338.668363
324.806013,751,340.848732
296.203382,678,341.151691
412.711039,799,341.518347
321.323117,710,341.844489
345.517212,871,342.253879
314.586507,698,342.594144
298.21738,717,342.95155
272.395711,679,343.273218
324.214636,721,343.595437
340.585506,776,343.945002
228.477689,608,344.211695
360.874906,760,346.373552
408.597142,842,346.753275
321.972846,677,347.061484
385.315739,699,347.368429
327.894548,821,347.761981
335.879471,728,348.088773
395.101755,741,348.418136
341.91106,855,348.828198
302.020598,637,349.128182
340.400717,743,349.468405
332.936981,649,349.764986
280.581697,707,351.867992
313.54157,641,352.168019
